model_name,spec,N,log_likelihood,AIC,BIC,adj_R2_or_pseudo_R2
Linear,additive,322133,-519644.92237073655,1039305.8447414731,1039391.3064997349,0.3352653714113476
Linear,interaction,322133,-516729.8984875756,1033497.7969751512,1033700.7686510229,0.347165408262048
Ordinal,additive,322133,-337945.77543579624,675913.5508715925,676031.0607892025,0.15072411691383958
Ordinal,interaction,322133,-337814.290890742,675672.581781484,675907.6016167039,0.15105454463695334
Binary,additive,322133,-172214.2861461953,344444.5722923906,344530.0340506524,0.21269111038503807
Binary,interaction,322133,-171786.32313689706,343610.6462737941,343813.61794966593,0.21464762101599033
Binary_45,additive,322133,-138971.66520234745,277959.3304046949,278044.79216295667,0.2850092770889475
Binary_45,interaction,322133,-138898.88799924537,277835.77599849075,278038.74767436256,0.28538370611360975
