model_name,spec,term,estimate,std_error,statistic,p_value,ci_lower,ci_upper,odds_ratio
Linear,additive,const,3.9400402939158865,0.0021395747246572617,1841.5062809021738,0.0,3.9358467887564914,3.9442337990752816,
Linear,additive,smell/fragrance_centered,0.9919799281440375,0.007246939843257118,136.88259452947173,0.0,0.977776133683252,1.006183722604823,
Linear,additive,price/value_centered,0.9738412960387594,0.008247220480547988,118.08115210884387,0.0,0.9576769801879139,0.9900056118896048,
Linear,additive,texture/consistency_centered,0.6790029692635386,0.014839303205178081,45.757065535705536,0.0,0.6499183601421122,0.708087578384965,
Linear,additive,packaging_centered,1.107022301406744,0.00601675303446673,183.98998514069146,0.0,1.095229637845118,1.1188149649683699,
Linear,additive,ingredients_centered,1.224358208288493,0.00493596413463292,248.04844097181564,0.0,1.2146838600048697,1.2340325565721162,
Linear,additive,effectiveness/results_centered,0.82485114255971,0.013346158850540394,61.8043852015377,0.0,0.79869305359331,0.8510092315261101,
Linear,additive,service/shipping_centered,0.6933420349986212,0.014515304683577347,47.766274984435576,0.0,0.664892453696654,0.7217916163005885,
Linear,interaction,const,3.9677118794734563,0.0021525782390910803,1843.2370110499726,0.0,3.963492887797793,3.9719308711491195,
Linear,interaction,smell/fragrance_centered,0.965119224412352,0.007209282091824187,133.87175201631553,0.0,0.9509892380636301,0.9792492107610739,
Linear,interaction,price/value_centered,0.9842834530675213,0.008193656282941476,120.12750096885551,0.0,0.9682241215072568,1.000342784627786,
Linear,interaction,texture/consistency_centered,0.6880114367156013,0.014731361028442838,46.703860925491604,0.0,0.6591383911642209,0.7168844822669816,
Linear,interaction,packaging_centered,1.0253812989280011,0.006220103287429182,164.84956142131833,0.0,1.0131900746951905,1.0375725231608117,
Linear,interaction,ingredients_centered,1.1680281225653153,0.004977033700077999,234.68358724334342,0.0,1.1582732791088517,1.177782966021779,
Linear,interaction,effectiveness/results_centered,0.845471750468716,0.01324669630152181,63.825102593435794,0.0,0.8195086052453605,0.8714348956920716,
Linear,interaction,service/shipping_centered,0.7160620177642064,0.01446342193845578,49.50847875497009,0.0,0.6877141251525479,0.7444099103758649,
Linear,interaction,int_smell_fragrance_texture_consistency,-0.6041362718195317,0.04921905397506274,-12.274438922081325,1.264872741310273e-34,-0.7006042074484266,-0.5076683361906368,
Linear,interaction,int_smell_fragrance_packaging,-0.44236836448149264,0.02969172475793523,-14.898708919335107,3.492215400665933e-50,-0.500563294317214,-0.38417343464577125,
