bootstrap_iter,effectiveness/results__ingredients,effectiveness/results__packaging,effectiveness/results__price/value,effectiveness/results__service/shipping,effectiveness/results__smell/fragrance,effectiveness/results__texture/consistency,ingredients__packaging,ingredients__price/value,ingredients__service/shipping,ingredients__smell/fragrance,ingredients__texture/consistency,packaging__price/value,packaging__service/shipping,packaging__smell/fragrance,packaging__texture/consistency,price/value__service/shipping,price/value__smell/fragrance,price/value__texture/consistency,service/shipping__smell/fragrance,service/shipping__texture/consistency,smell/fragrance__texture/consistency
0,0.05042723238532556,0.01903875205052984,0.00949663187137054,0.0036671482605915994,0.005878660446377411,0.016678588997527832,0.07901453664878302,0.014670850347563243,0.032526686663483934,0.056032943521803893,0.03099337904442713,0.06773113029888761,0.05436050695548222,0.022736324316890516,0.020583762059921712,0.03661267044541859,-0.017637270517381006,0.003742792210861722,-0.0,0.0,0.0285687049955004
1,0.05049071716994178,0.019657222632570977,0.011637638386343959,0.004318589904358968,0.007854933391833206,0.017777724977890156,0.07939202571215868,0.014860814641649619,0.030848834461423252,0.05383569718008805,0.028650989138873473,0.06190694534282642,0.055222487753279745,0.022928241458858845,0.020741297025745734,0.03774542446568355,-0.016311234033902625,0.0035893180639429423,-0.0,0.0,0.026082574070947974
2,0.05130139898227392,0.018491974564530854,0.008745531791922731,0.004683686718934627,0.004899700130187501,0.01644835817564726,0.07944797729598203,0.01723029914987125,0.03081042265249608,0.05425188683948347,0.030113624529309664,0.06717113593099167,0.05231417108809237,0.023669398465703432,0.022876108539546296,0.035608995671662313,-0.016436441191212306,0.0034611612600037606,-0.0,-0.0,0.02740031393434823
3,0.05345047442749926,0.018488669640358776,0.008659024896487845,0.0032828855205557827,0.003717644489972788,0.01809954033373423,0.07595844365935744,0.014348204325900608,0.03184367463734105,0.05188259824679394,0.03175204589831795,0.06144196283651172,0.05377276347110764,0.02483697324215623,0.02065660200748923,0.03932417764400441,-0.0168385201901345,0.0032189706979908364,-0.00117298936377094,0.0,0.029697351159772064
4,0.04975804733043165,0.014828132187101647,0.005643018223023557,0.0009108174158070309,0.004155589282231018,0.018843200348125127,0.07807172476821492,0.013248637797357604,0.03090431705201994,0.052399094547286675,0.02902499894519957,0.06126648971260643,0.05414399420596877,0.022235318708108444,0.02033540522831427,0.03823790650198582,-0.01597525621834828,0.0,-0.0,0.0,0.02363435269672514
5,0.05168787511115233,0.019930904834386302,0.008373596346912702,0.003555809992601619,0.005354485654174804,0.019513978233186915,0.07804599547007843,0.01608287221365415,0.030422260218399888,0.05123959460084974,0.03178733228584221,0.06789035562129776,0.05302933580876141,0.023452625298146422,0.02125559109546057,0.036734587261538575,-0.01652894034311978,0.0016003168599949289,-0.0015172769239198138,0.0,0.02707063683832349
6,0.051415137511915066,0.01657435279828121,0.010865056924290581,0.003660030743913921,0.0029603030230267655,0.013849343203127033,0.07888459940991016,0.014676489344431347,0.03273728379290938,0.0536617644462231,0.028528813080706296,0.06675288879661431,0.0558397906059164,0.02048845544717298,0.021591077601417888,0.03762981618364852,-0.015582628904135433,0.005408677070149462,-0.0,0.0,0.027756934568433207
7,0.05074410484581156,0.019865216362357625,0.006579575410948269,0.0054878440792436155,0.00539722979332949,0.01473755482802645,0.07683608292779394,0.014089022222728327,0.030214605228528223,0.052268988764239264,0.0300116961613917,0.06411382670869793,0.05320137193702635,0.02281436212143461,0.021741556705045958,0.034758108972230174,-0.0184806157311654,0.004104013280378131,-0.0018291915580495165,0.0,0.02576275068260908
8,0.05236180675816398,0.018621983089166235,0.01172913489372727,0.005567380469635047,0.00409140579220576,0.016968358363286702,0.07558017819337799,0.014143543989113192,0.031044620877842054,0.05436491753433673,0.03229119404192762,0.06320017511278024,0.05338569192496574,0.022328885160261932,0.02031852227876683,0.03771915510984598,-0.016164153629487428,0.006089841498396181,-0.0011030082442878872,0.0,0.02447794028272421
9,0.05359509820550659,0.016613530375464643,0.00880202551647348,0.0025624164043038106,0.0034657868953606448,0.015206054900945558,0.07928298387836738,0.01740904740012225,0.032534152804858385,0.05668656712806331,0.02981786026413733,0.06264588497886617,0.05380353143944494,0.024038046115197866,0.02286366865220828,0.03665746128003472,-0.016609224279884583,0.003323114731225315,-0.0028517772013331904,0.0034890802793286916,0.027721135789256716
10,0.05509920208560781,0.019849195334200126,0.007900774648317524,0.004354907668770197,0.0045477327400759784,0.016663012539684195,0.07389283883788779,0.013835439097116957,0.03302649536244167,0.053458906599578464,0.03072835383242765,0.06306323967296057,0.05387506783745081,0.022356199481771036,0.022337836089949863,0.03600664317978066,-0.017193128880413775,0.005361161456858245,-0.004100441171608912,0.0,0.02602709166689849
11,0.05326785469516451,0.01893398109405303,0.013222854711346663,0.0037898958185682446,0.00577758828283409,0.015046215196659527,0.07879928859513234,0.01690770668908266,0.03215615698711118,0.053778530851000005,0.028754133604856652,0.06649198861125197,0.054032129491409765,0.024144246159542013,0.020903740247828376,0.037758977736919615,-0.014963963568618097,0.003101728078866866,-0.001665992840004142,0.0012245826568265262,0.022271793166860843
12,0.051752413708993784,0.017642897852706587,0.010538634640877485,0.005284299814682031,0.004645441811005648,0.016586559168466446,0.0761828445211526,0.014803509134165387,0.031264127537090916,0.054456150734341784,0.030948782318486266,0.06549307486521724,0.05527864174274159,0.022412665020696273,0.022823218719596416,0.038704114716621,-0.016619715422406218,0.0029043824706642533,-0.0018660347036422763,0.0,0.028887488501898612
13,0.05153399893017588,0.0198756478808648,0.010873882901081239,0.005757982618837129,0.006784541709039305,0.01799047160266403,0.07832985374456874,0.01658390281721116,0.030439178387785776,0.05472639054020595,0.02940063355007392,0.06160151346399415,0.05469155211054033,0.02105366777566762,0.02144397669337741,0.03678009128238222,-0.015552462271416932,0.003841071727579626,-0.0008527297140507889,-0.0,0.026162613994788406
14,0.049479101737267946,0.019226024557145744,0.008947136574752563,0.004046778561339367,0.004938376505902908,0.017923032048275358,0.07959727078134725,0.015029230588624872,0.028594253081102083,0.05308417294121867,0.02933839566693839,0.0656681772928483,0.056809519724812456,0.023700302900577126,0.020624479158020893,0.034857340839829914,-0.019361050631254904,0.0009026129873133583,-0.0028920778317377705,0.0,0.03142053598020925
15,0.04974570129806707,0.02005760591363929,0.009699284688590071,0.0021309789379449183,0.0046389442980042175,0.018391191115324935,0.07630474804193771,0.01356271717119544,0.0334374642129568,0.05394350104014056,0.02796601345776109,0.06561311318360961,0.05630048148872753,0.024510286387710856,0.020096917496533147,0.035078259745251,-0.014676435571737353,0.001201220878091861,-0.0,0.0,0.028597589973905713
16,0.054730825907662414,0.018015405883309937,0.01426382970707595,0.0029062990100607194,0.0067576374917787275,0.017525739681022116,0.07794301140776097,0.012518900066777347,0.03163716455965395,0.05504637396811776,0.031547653879799686,0.06597966065078203,0.05418455245216139,0.02445561793848423,0.024082306114834532,0.03723225471628996,-0.01682646782524008,0.0049761966463624996,-0.0010547270114493667,-0.0,0.025458029437572475
17,0.051842909614482346,0.02037277362374942,0.007423720126473092,0.0025141216974109,0.006732375425762708,0.01744737923262666,0.07834294763351249,0.010309943956592363,0.031666245499780185,0.051131530413538684,0.02849546625896395,0.06350905808336058,0.050422235164599816,0.02272668572307154,0.019006080494624895,0.03966666777933083,-0.017358882980326847,0.0,-0.0012105176657526036,0.0,0.029061409132860334
18,0.05117461227084889,0.019092466383665494,0.010251242016148427,0.0047280712946122915,0.006833716185315266,0.019242797247239412,0.07555667160030924,0.0142736247358141,0.028961995090185093,0.05450108800928416,0.02880263237829804,0.06810414927723907,0.05420353075405079,0.024119071928054268,0.021536745468035242,0.035574585436459555,-0.01686832749494757,0.003136849184380179,-0.0024453958240356396,0.0,0.02582692290407666
19,0.05053766060944009,0.018356410881750305,0.011067002101265402,0.0029175417204758587,0.00928208668235261,0.015563994058798818,0.07865593424967124,0.01453790160838812,0.03297008334049991,0.0536435251402696,0.03179262414772235,0.0647539757973107,0.05462692755339344,0.023406965462136116,0.02144465985473431,0.03752306827603171,-0.017935269045507227,0.0036200515277889263,-0.003776798537449795,0.0,0.027066074605852582
20,0.05422792803145968,0.02061703076241824,0.011560737277176934,0.0026454385046918725,0.009540082569266915,0.015056502507607,0.07777877713226818,0.014628837250695366,0.031035769559074732,0.055550472502660014,0.029954245690331463,0.06680083774710113,0.05377430500988471,0.02339236122254167,0.01938005132797969,0.035018808519240725,-0.016913632991527875,0.0037183345357725893,-0.0013176630826036149,0.0,0.02924805658690653
21,0.052372448235698615,0.019416908630664885,0.008734004422486183,0.0066186027310608095,0.003775566141946573,0.017461788060525008,0.07965302950650183,0.01563158721563067,0.03146322726947164,0.05447935758132132,0.026906337895784768,0.06685250738339181,0.051338665929497575,0.021662320825022178,0.018919370274747098,0.037515125333558254,-0.013506519522321028,0.003918327857812652,-0.0011427838547752715,-0.0,0.02930043924170895
22,0.049193568903173134,0.02101208609714863,0.010837062350721547,0.0,0.005370540892643823,0.01660256780098198,0.07685446052609253,0.012251908837815854,0.028445676960257626,0.05282828725846532,0.02817609243108403,0.06303231086772564,0.05647594937636785,0.020976667476191157,0.02058058652647732,0.03662783127851379,-0.015793810580446144,0.0,-0.0,0.0,0.02891969919889658
23,0.05124777110047196,0.01810668189220911,0.007387290042791185,0.0026013470500384915,0.0022727524017505316,0.018995850769261437,0.07187769759343693,0.012140618789647829,0.03071847812402013,0.052799547841129585,0.030956539558775427,0.06370551958039163,0.055223602310920834,0.02373205342917727,0.022057046637498478,0.035944062455069474,-0.01429010984741275,0.004244557815227172,-0.0,0.0,0.02478716851362371
